CAD,DEPARTAMENTO,MUNICIPIO,CULTIVO,A�O,AREA COSE,PRODUCCION,RENDIMIENTO,ESTADO FIS,CICLO CUL
15,BOYACA,CHISCAS,PAPA,2006,120,2160,18,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,GACHANTIVA,PAPA,2006,120,1200,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PAIPA,PAPA,2006,110,1320,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,GUICAN,PAPA,2006,100,1500,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,JENESANO,PAPA,2006,100,1400,14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,JERICO,PAPA,2006,80,800,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PANQUEBA,PAPA,2006,100,2000,20,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SORA,PAPA,2006,100,950,9.5,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TIBANA,PAPA,2006,100,1200,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,VILLA DE LEYVA,PAPA,2006,90,1080,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CHITA,PAPA,2006,40,720,18,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SANTA SOFIA,PAPA,2006,80,960,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SATIVANORTE,PAPA,2006,75,1350,18,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SUTAMARCHAN,PAPA,2006,80,1200,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TUTA,PAPA,2006,80,800,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,RAQUIRA,PAPA,2006,75,750,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,OICATA,PAPA,2006,60,900,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,DUITAMA,PAPA,2006,50,650,13,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SANTA ROSA DE VITERBO,PAPA,2006,58,812,14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TIBASOSA,PAPA,2006,60,800,13.33,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CERINZA,PAPA,2006,56,560,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,LA UVITA,PAPA,2006,45,700,15.56,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,NUEVO COLON,PAPA,2006,50,750,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CUITIVA,PAPA,2006,40,625,15.63,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,BETEITIVA,PAPA,2006,30,375,12.5,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,BUENAVISTA,PAPA,2006,30,450,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,GUACAMAYAS,PAPA,2006,30,330,11,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PACHAVITA,PAPA,2006,18,468,26,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PAZ DE RIO,PAPA,2006,18,200,11.11,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TINJACA,PAPA,2006,20,300,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SATIVASUR,PAPA,2006,18,150,8.33,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TOPAGA,PAPA,2006,18,200,11.11,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CHINAVITA,PAPA,2006,14,98,7,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,MONGUA,PAPA,2006,15,195,13,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,NOBSA,PAPA,2006,15,188,12.5,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,EL ESPINO,PAPA,2006,10,150,15,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,IZA,PAPA,2006,10,120,12,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CORRALES,PAPA,2006,8,48,6,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,RONDON,PAPA,2006,4,25,6.25,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,GARAGOA,PAPA,2006,6,68,11.4,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SOMONDOCO,PAPA,2006,6,48,8,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PAJARITO,PAPA,2006,4,80,20,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TIPACOQUE,PAPA,2006,3,30,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SOATA,PAPA,2006,3,10,4,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SACHICA,PAPA,2006,1,3,3,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,AQUITANIA,PAPA,2006,50,1500,30,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,TUNJA,PAPA,2006,40,400,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,COMBITA,PAPA,2006,26,320,12.31,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PAUNA,PAPA,2006,30,300,10,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,SANTA ROSA DE VITERBO,PAPA,2006,24,336,14,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CHIQUIZA,PAPA,2006,18,360,20,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,DUITAMA,PAPA,2006,6,36,6,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,PACHAVITA,PAPA,2006,3,57,21.25,TUBERCULO FRESCO,TRANSITORIO
15,BOYACA,CERINZA,PAPA,2006,2,20,10,TUBERCULO FRESCO,TRANSITORIO
